,message,label,player,special_token_message,match
836,DEPOIS DOU AUTOGRAFO,,0,[Team0][Player0]: DEPOIS DOU AUTOGRAFO,70
837,easy+,,4,[Team0][Player4]: easy+,70
838,oe lion sigue suporteandoa  tu anti,,4,[Team0][Player4]: oe lion sigue suporteandoa  tu anti,70
839,jaja,,4,[Team0][Player4]: jaja,70
840,HAHA,,0,[Team0][Player0]: HAHA,70
841,tu tambien fenix,,4,[Team0][Player4]: tu tambien fenix,70
842,call mr,,9,[Team1][Player4]: call mr,70
843,jaja,,4,[Team0][Player4]: jaja,70
844,si nop eres,,9,[Team1][Player4]: si nop eres,70
845,nada,,9,[Team1][Player4]: nada,70
846,tal vez la voltee jaja,,4,[Team0][Player4]: tal vez la voltee jaja,70
847,felicitemos al anticaca,,4,[Team0][Player4]: felicitemos al anticaca,70
848,mato por fin,,4,[Team0][Player4]: mato por fin,70
849,Easy,,9,[Team1][Player4]: Easy,70
850,ya perdimos gente o no,,4,[Team0][Player4]: ya perdimos gente o no,70
851,jaja,,4,[Team0][Player4]: jaja,70
852,jaja,,4,[Team0][Player4]: jaja,70
853,sigan wuardiadno tal vez ganen jaja,,4,[Team0][Player4]: sigan wuardiadno tal vez ganen jaja,70
854,a no esperen ya ahy megas,,4,[Team0][Player4]: a no esperen ya ahy megas,70
855,jaja noobs,,4,[Team0][Player4]: jaja noobs,70
856,ahora sere suport,,4,[Team0][Player4]: ahora sere suport,70
857,EDX,,2,[Team0][Player2]: EDX,70
858,REPORT OUT,,9,[Team1][Player4]: REPORT OUT,70
859,easy noobs,,4,[Team0][Player4]: easy noobs,70
860,humillados,,4,[Team0][Player4]: humillados,70
861,Иево,,2,[Team0][Player2]: Иево,3
862,пидор,x,5,[Team1][Player0]: пидор,3
863,кто бы говорил,,0,[Team0][Player0]: кто бы говорил,3
864,ща буду тебе жопу рвать,,5,[Team1][Player0]: ща буду тебе жопу рвать,3
865,ты ж понимаешь?,,5,[Team1][Player0]: ты ж понимаешь?,3
866,нахер иди,x,0,[Team0][Player0]: нахер иди,3
867,найс пуджа нафидили,,0,[Team0][Player0]: найс пуджа нафидили,3
868,все ясно крч,,0,[Team0][Player0]: все ясно крч,3
869,лооол,,5,[Team1][Player0]: лооол,3
870,причем тут пудж?,,8,[Team1][Player3]: причем тут пудж?,3
871,"ты линию проебал, не?",,5,"[Team1][Player0]: ты линию проебал, не?",3
872,если ты соснул на линии,,8,[Team1][Player3]: если ты соснул на линии,3
873,армлет на 17 минуте,,5,[Team1][Player0]: армлет на 17 минуте,3
874,лул,,5,[Team1][Player0]: лул,3
875,"пиздец,инвокер такой донный",,2,"[Team0][Player2]: пиздец,инвокер такой донный",3
876,+,,4,[Team0][Player4]: +,3
877,"гг,пуштен",,2,"[Team0][Player2]: гг,пуштен",3
878,инвок просто нафидил,,2,[Team0][Player2]: инвок просто нафидил,3
879,+,,4,[Team0][Player4]: +,3
880,вы проебали линии,,8,[Team1][Player3]: вы проебали линии,3
881,причем тут пудж и мид?,,8,[Team1][Player3]: причем тут пудж и мид?,3
882,пудж не зависит от предметов,,5,[Team1][Player0]: пудж не зависит от предметов,3
883,толку его фидить?,,5,[Team1][Player0]: толку его фидить?,3
884,"мм,а ты один на что-то способен,пангольер?",,0,"[Team0][Player0]: мм,а ты один на что-то способен,пангольер?",3
885,или за свеном прячешься?,,0,[Team0][Player0]: или за свеном прячешься?,3
886,лул,,5,[Team1][Player0]: лул,3
887,я керри что ли?,,5,[Team1][Player0]: я керри что ли?,3
888,а ты без ульты?,,8,[Team1][Player3]: а ты без ульты?,3
889,слабо?,,8,[Team1][Player3]: слабо?,3
890,10 копий блять,,8,[Team1][Player3]: 10 копий блять,3
891,"БРАТАН, У ВАС РАЗНЫЕ РОЛИ КАК БЭ))",,9,"[Team1][Player4]: БРАТАН, У ВАС РАЗНЫЕ РОЛИ КАК БЭ))",3
892,панголиер это керри?,,5,[Team1][Player0]: панголиер это керри?,3
893,ответь,,5,[Team1][Player0]: ответь,3
894,зря,,8,[Team1][Player3]: зря,3
895,+,,5,[Team1][Player0]: +,3
896,ой,,5,[Team1][Player0]: ой,3
897,хватит,,5,[Team1][Player0]: хватит,3
898,за мной гоняться,,5,[Team1][Player0]: за мной гоняться,3
899,вы уже слили,,5,[Team1][Player0]: вы уже слили,3
900,бб,,5,[Team1][Player0]: бб,3
901,браво,,5,[Team1][Player0]: браво,3
902,лол что,,5,[Team1][Player0]: лол что,3
903,how,,5,[Team1][Player0]: how,3
904,на нахуй,,0,[Team0][Player0]: на нахуй,3
905,да снеси ты уже,,0,[Team0][Player0]: да снеси ты уже,3
906,заебал,,0,[Team0][Player0]: заебал,3
907,гг,,4,[Team0][Player4]: гг,3
908,"гг вп,лайк",x,0,"[Team0][Player0]: гг вп,лайк",3
909,за что?,,5,[Team1][Player0]: за что?,3
910,лайк,,4,[Team0][Player4]: лайк,3
911,ты линию проебал,,5,[Team1][Player0]: ты линию проебал,3
912,изи,,8,[Team1][Player3]: изи,3
913,животное на свене,,5,[Team1][Player0]: животное на свене,3
914,репорт,,5,[Team1][Player0]: репорт,3
915,gj,,2,[Team0][Player2]: gj,33
916,лол,,7,[Team1][Player2]: лол,33
917,это что ?,,7,[Team1][Player2]: это что ?,33
918,ez snake faggot,x,3,[Team0][Player3]: ez snake faggot,33
919,ez ursa,,9,[Team1][Player4]: ez ursa,33
920,10 lvl snake faggot dies lol,x,3,[Team0][Player3]: 10 lvl snake faggot dies lol,33
921,no team,,9,[Team1][Player4]: no team,33
922,lol no you are RUSSIAN MOTHERFUCKER,x,3,[Team0][Player3]: lol no you are RUSSIAN MOTHERFUCKER,33
923,thats why,,3,[Team0][Player3]: thats why,33
924,clinkz report,,9,[Team1][Player4]: clinkz report,33
925,hp?,,1,[Team0][Player1]: hp?,33
926,тупой хуесос,x,6,[Team1][Player1]: тупой хуесос,33
927,first bash,,1,[Team0][Player1]: first bash,33
928,Es,,6,[Team1][Player1]: Es,33
929,везет,,6,[Team1][Player1]: везет,33
930,уебку,,6,[Team1][Player1]: уебку,33
931,тупо повезло,,6,[Team1][Player1]: тупо повезло,33
932,тупой даун,x,9,[Team1][Player4]: тупой даун,33
933,oh you russian faggot,x,3,[Team0][Player3]: oh you russian faggot,33
934,глиномес,,5,[Team1][Player0]: глиномес,33
935,ебаный,,5,[Team1][Player0]: ебаный,33
936,faster pls,,0,[Team0][Player0]: faster pls,33
937,Гей тима напала,,7,[Team1][Player2]: Гей тима напала,33
938,клинз репорт,,5,[Team1][Player0]: клинз репорт,33
939,изич,x,5,[Team1][Player0]: изич,33
940,Пзидецй,x,6,[Team1][Player1]: Пзидецй,33
941,езучий,,6,[Team1][Player1]: езучий,33
942,Хуесорс,,6,[Team1][Player1]: Хуесорс,33
943,хаха,,1,[Team0][Player1]: хаха,33
944,Наис макака слила игру,x,6,[Team1][Player1]: Наис макака слила игру,33
945,ti dumaesh mne ne pohuy?,,0,[Team0][Player0]: ti dumaesh mne ne pohuy?,33
946,вот +,,7,[Team1][Player2]: вот +,33
947,u menya sapporti farmili vsy igru,,0,[Team0][Player0]: u menya sapporti farmili vsy igru,33
948,я тож катаю так на похуй,,7,[Team1][Player2]: я тож катаю так на похуй,33
949,я тоже,,1,[Team0][Player1]: я тоже,33
950,ya ih na huy vertel,,0,[Team0][Player0]: ya ih na huy vertel,33
951,autistov,,0,[Team0][Player0]: autistov,33
952,pust;' chestno 4x4 pobezhdayt,,0,[Team0][Player0]: pust;' chestno 4x4 pobezhdayt,33
953,?,,6,[Team1][Player1]: ?,33
954,ладно паци,,1,[Team0][Player1]: ладно паци,33
955,пошутили и хватит,,1,[Team0][Player1]: пошутили и хватит,33
956,мб не будете дефать ?,,6,[Team1][Player1]: мб не будете дефать ?,33
957,типа ты тащишь,,5,[Team1][Player0]: типа ты тащишь,33
958,или ты хочешь вйграть ?,,6,[Team1][Player1]: или ты хочешь вйграть ?,33
959,или че,,5,[Team1][Player0]: или че,33
960,к чему это,,5,[Team1][Player0]: к чему это,33
961,типа играть умеешь?,,5,[Team1][Player0]: типа играть умеешь?,33
962,я думаю он сам не понял,,6,[Team1][Player1]: я думаю он сам не понял,33
963,к чему это,,6,[Team1][Player1]: к чему это,33
964,ебать,,6,[Team1][Player1]: ебать,33
965,ты жерсткий сф,,6,[Team1][Player1]: ты жерсткий сф,33
966,шутник,,5,[Team1][Player0]: шутник,33
967,че там где,,5,[Team1][Player0]: че там где,33
968,Минус 25 получаешь,,6,[Team1][Player1]: Минус 25 получаешь,33
969,может спушите?,,1,[Team0][Player1]: может спушите?,33
970,),,6,[Team1][Player1]: ),33
971,мб не будешь дефать ?,,6,[Team1][Player1]: мб не будешь дефать ?,33
972,да бля они не хотят играть,,1,[Team0][Player1]: да бля они не хотят играть,33
973,а я не дефаю,,1,[Team0][Player1]: а я не дефаю,33
974,Да,,6,[Team1][Player1]: Да,33
975,Базару 0,,6,[Team1][Player1]: Базару 0,33
976,они дауны,x,6,[Team1][Player1]: они дауны,33
977,пизда,,6,[Team1][Player1]: пизда,33
978,мк лайк,,7,[Team1][Player2]: мк лайк,33
979,ахах,,6,[Team1][Player1]: ахах,33
980,репорт клинкзу,,9,[Team1][Player4]: репорт клинкзу,33
981,в соло заруинил?,,1,[Team0][Player1]: в соло заруинил?,33
982,да выйграл нам игру,,6,[Team1][Player1]: да выйграл нам игру,33
983,РЕПОРТ ПЛИЗ,,7,[Team1][Player2]: РЕПОРТ ПЛИЗ,33
984,reprt,,2,[Team0][Player2]: reprt,33
985,=),,1,[Team0][Player1]: =),33
986,mk,,2,[Team0][Player2]: mk,33
987,МН,,7,[Team1][Player2]: МН,33
988,можете сразу ливать,,4,[Team0][Player4]: можете сразу ливать,94
989,ахахха,,4,[Team0][Player4]: ахахха,94
990,зайдет?,,5,[Team1][Player0]: зайдет?,94
991,нет,,4,[Team0][Player4]: нет,94
992,соси,,5,[Team1][Player0]: соси,94
993,тварь.,,5,[Team1][Player0]: тварь.,94
994,),,4,[Team0][Player4]: ),94
995,),,5,[Team1][Player0]: ),94
996,вам буишь,,4,[Team0][Player4]: вам буишь,94
997,сам8,,4,[Team0][Player4]: сам8,94
998,не буишь,,5,[Team1][Player0]: не буишь,94
999,буишь,,4,[Team0][Player4]: буишь,94
1000,выы буите,,4,[Team0][Player4]: выы буите,94
1001,) не буишь),,5,[Team1][Player0]: ) не буишь),94
1002,брист я твою родню раком ебал,,2,[Team0][Player2]: брист я твою родню раком ебал,94
1003,брист твоя мамка у меня под столом сосет,,2,[Team0][Player2]: брист твоя мамка у меня под столом сосет,94
1004,gg,,6,[Team1][Player1]: gg,94
1005,изи пак,,6,[Team1][Player1]: изи пак,94
1006,30 урона,,6,[Team1][Player1]: 30 урона,94
1007,шб пт,,6,[Team1][Player1]: шб пт,94
1008,),,4,[Team0][Player4]: ),94
1009,кристалис и 2 бф,,4,[Team0][Player4]: кристалис и 2 бф,94
1010,пак репорт чучело,,5,[Team1][Player0]: пак репорт чучело,94
1011,+,,7,[Team1][Player2]: +,94
1012,REPORT,,7,[Team1][Player2]: REPORT,94
1013,EI,,7,[Team1][Player2]: EI,94
1014,опа,,4,[Team0][Player4]: опа,94
1015,|D,,7,[Team1][Player2]: |D,94
1016,1 k mmr,,7,[Team1][Player2]: 1 k mmr,94
1017,chego jdat,,7,[Team1][Player2]: chego jdat,94
1018,0 wardov,,7,[Team1][Player2]: 0 wardov,94
1019,NEHYA,,7,[Team1][Player2]: NEHYA,94
1020,гг,,5,[Team1][Player0]: гг,94
1021,),,4,[Team0][Player4]: ),94
1022,12 побед подряд на леге,,4,[Team0][Player4]: 12 побед подряд на леге,94
1023,PRIKINTE,,7,[Team1][Player2]: PRIKINTE,94
1024,GYLYA,,7,[Team1][Player2]: GYLYA,94
1025,mne ultyey,,7,[Team1][Player2]: mne ultyey,94
1026,?,,0,[Team0][Player0]: ?,94
1027,),,4,[Team0][Player4]: ),94
1028,это бф небыло,,4,[Team0][Player4]: это бф небыло,94
1029,ACHE ON FIDIT ?,,7,[Team1][Player2]: ACHE ON FIDIT ?,94
1030,18 левл),,4,[Team0][Player4]: 18 левл),94
1031,XD,,4,[Team0][Player4]: XD,94
1032,чтоооо,,0,[Team0][Player0]: чтоооо,94
1033,лол,,4,[Team0][Player4]: лол,94
1034,мстя,,4,[Team0][Player4]: мстя,94
1035,wp,,6,[Team1][Player1]: wp,94
1036,мой сука саппорт,,4,[Team0][Player4]: мой сука саппорт,94
1037,господи,,5,[Team1][Player0]: господи,94
1038,киньте репорт,,5,[Team1][Player0]: киньте репорт,94
1039,плз,,5,[Team1][Player0]: плз,94
1040,всем,,5,[Team1][Player0]: всем,94
1041,AI,,7,[Team1][Player2]: AI,94
1042,пидарас,,4,[Team0][Player4]: пидарас,94
1043,RAMGA,,7,[Team1][Player2]: RAMGA,94
1044,лега,,5,[Team1][Player0]: лега,94
1045,?,,4,[Team0][Player4]: ?,94
1046,RAMPAGA,,7,[Team1][Player2]: RAMPAGA,94
1047,POCHTI,,7,[Team1][Player2]: POCHTI,94
1048,посмотри насчет моей тимы:(,,5,[Team1][Player0]: посмотри насчет моей тимы:(,94
1049,PUDG,,7,[Team1][Player2]: PUDG,94
1050,и на мой,,4,[Team0][Player4]: и на мой,94
1051,NEPIZDI,,7,[Team1][Player2]: NEPIZDI,94
1052,Y NAS NET SAORTOB,,7,[Team1][Player2]: Y NAS NET SAORTOB,94
1053,) wardov,,7,[Team1][Player2]: ) wardov,94
1054,сука,,4,[Team0][Player4]: сука,94
1055,v nachale,,7,[Team1][Player2]: v nachale,94
1056,igri,,7,[Team1][Player2]: igri,94
1057,тебя фиданули и вообще пытаются помочь,,5,[Team1][Player0]: тебя фиданули и вообще пытаются помочь,94
1058,8 min,,7,[Team1][Player2]: 8 min,94
1059,а нам нет),,5,[Team1][Player0]: а нам нет),94
1060,lotar,,7,[Team1][Player2]: lotar,94
1061,2 катку рампагу не могу сделать),,4,[Team0][Player4]: 2 катку рампагу не могу сделать),94
1062,lega,,7,[Team1][Player2]: lega,94
1063,suka,,7,[Team1][Player2]: suka,94
1064,na fidili,,7,[Team1][Player2]: na fidili,94
1065,PIZDAT,,7,[Team1][Player2]: PIZDAT,94
1066,LIKe&,,4,[Team0][Player4]: LIKe&,94
1067,?*,,4,[Team0][Player4]: ?*,94
1068,24 левл)\,,4,[Team0][Player4]: 24 левл)\,94
1069,ХУЕСОС НА ПАКЕ,,6,[Team1][Player1]: ХУЕСОС НА ПАКЕ,94
1070,ЕБЛ ОНАФИДИЛО ТЕБЯ ЛЕГА,,6,[Team1][Player1]: ЕБЛ ОНАФИДИЛО ТЕБЯ ЛЕГА,94
1071,+1 репорт паку,,5,[Team1][Player0]: +1 репорт паку,94
1072,И СТИЛИТ ВСЮ МАПУ,,6,[Team1][Player1]: И СТИЛИТ ВСЮ МАПУ,94
1073,и репорт леге,,4,[Team0][Player4]: и репорт леге,94
1074,не,,5,[Team1][Player0]: не,94
1075,25,,4,[Team0][Player4]: 25,94
1076,(,,5,[Team1][Player0]: (,94
1077,XD,,4,[Team0][Player4]: XD,94
1078,"просто стилят бомжи,которые еще и фидят",,5,"[Team1][Player0]: просто стилят бомжи,которые еще и фидят",94
1079,гспд,,5,[Team1][Player0]: гспд,94
1080,ебаные бомжи,,5,[Team1][Player0]: ебаные бомжи,94
1081,тупые,,5,[Team1][Player0]: тупые,94
1082,тинкер я иду,,2,[Team0][Player2]: тинкер я иду,94
1083,опа,,4,[Team0][Player4]: опа,94
1084,тинкер,,4,[Team0][Player4]: тинкер,94
1085,спс диз,,4,[Team0][Player4]: спс диз,94
1086,disaraptor pidaraz,,7,[Team1][Player2]: disaraptor pidaraz,94
1087,...,,4,[Team0][Player4]: ...,94
1088,iza takih ebkov kak ti v dote,,7,[Team1][Player2]: iza takih ebkov kak ti v dote,94
1089,DAHUYA,,7,[Team1][Player2]: DAHUYA,94
1090,I ONI VSE PORTYAT,,7,[Team1][Player2]: I ONI VSE PORTYAT,94
1091,хахаах,,4,[Team0][Player4]: хахаах,94
1092,сларк,,4,[Team0][Player4]: сларк,94
1093,уебать?,,4,[Team0][Player4]: уебать?,94
1094,?,,6,[Team1][Player1]: ?,94
1095,+,,6,[Team1][Player1]: +,94
1096,а хотя,,6,[Team1][Player1]: а хотя,94
1097,не,,6,[Team1][Player1]: не,94
1098,ахахх,,4,[Team0][Player4]: ахахх,94
1099,пизда,,4,[Team0][Player4]: пизда,94
1100,12 побед,,4,[Team0][Player4]: 12 побед,94
1101,21 побед,,4,[Team0][Player4]: 21 побед,94
1102,с,,4,[Team0][Player4]: с,94
1103,кек,,5,[Team1][Player0]: кек,94
1104,12*Э,,4,[Team0][Player4]: 12*Э,94
1105,серия блядь,,4,[Team0][Player4]: серия блядь,94
1106,репорт бристу все,,2,[Team0][Player2]: репорт бристу все,94
1107,JALKO,,7,[Team1][Player2]: JALKO,94
1108,TEBYA,,7,[Team1][Player2]: TEBYA,94
1109,(,,4,[Team0][Player4]: (,94
1110,кек,,5,[Team1][Player0]: кек,94
1111,как мы выйграли,,5,[Team1][Player0]: как мы выйграли,94
1112,хз,,4,[Team0][Player4]: хз,94
1113,у вас там ам сосет,,9,[Team1][Player4]: у вас там ам сосет,98
1114,а выв к нам бегаете,,9,[Team1][Player4]: а выв к нам бегаете,98
1115,gg anti mage reported,,2,[Team0][Player2]: gg anti mage reported,98
1116,30 minute battlefury,,2,[Team0][Player2]: 30 minute battlefury,98
1117,yes report am,,0,[Team0][Player0]: yes report am,98
1118,you are the worst dota player i have ever seen,,2,[Team0][Player2]: you are the worst dota player i have ever seen,98
1119,in my entire life,,2,[Team0][Player2]: in my entire life,98
1120,)),,6,[Team1][Player1]: )),98
1121,hahahaah,,2,[Team0][Player2]: hahahaah,98
1122,anti mage,,2,[Team0][Player2]: anti mage,98
1123,pudge reported,,0,[Team0][Player0]: pudge reported,98
1124,no help bottom,,0,[Team0][Player0]: no help bottom,98
1125,wp am,,4,[Team0][Player4]: wp am,98
1126,have fun in low piro am,,2,[Team0][Player2]: have fun in low piro am,98
1127,anti reported,,2,[Team0][Player2]: anti reported,98
1128,pizda,,8,[Team1][Player3]: pizda,98
1129,gg,,0,[Team0][Player0]: gg,90
1130,ебал,,0,[Team0][Player0]: ебал,90
1131,10 мп,,4,[Team0][Player4]: 10 мп,90
1132,мом не жметс,,4,[Team0][Player4]: мом не жметс,90
1133,nice,,7,[Team1][Player2]: nice,90
1134,сосать пидорги,x,1,[Team0][Player1]: сосать пидорги,90
1135,rly,,7,[Team1][Player2]: rly,90
1136,russian vata,,7,[Team1][Player2]: russian vata,90
1137,+,,0,[Team0][Player0]: +,90
1138,как бы тут все один регион)),,2,[Team0][Player2]: как бы тут все один регион)),90
1139,ахах,,1,[Team0][Player1]: ахах,90
1140,net,,7,[Team1][Player2]: net,90
1141,хохол,,4,[Team0][Player4]: хохол,90
1142,ya russki,,7,[Team1][Player2]: ya russki,90
1143,)),,2,[Team0][Player2]: )),90
1144,изи мид,,1,[Team0][Player1]: изи мид,90
1145,соски,,1,[Team0][Player1]: соски,90
1146,блять воид на миду,,7,[Team1][Player2]: блять воид на миду,90
1147,естессно изи,,7,[Team1][Player2]: естессно изи,90
1148,)),,2,[Team0][Player2]: )),90
1149,жадный,,2,[Team0][Player2]: жадный,90
1150,изи твою мать ебать,,5,[Team1][Player0]: изи твою мать ебать,90
1151,и мать войда с котлом,,5,[Team1][Player0]: и мать войда с котлом,90
1152,gulya zloy,,7,[Team1][Player2]: gulya zloy,90
1153,ego batya ebet v ochko,,7,[Team1][Player2]: ego batya ebet v ochko,90
1154,у тебя мать шлюха даун,x,5,[Team1][Player0]: у тебя мать шлюха даун,90
1155,а ты в игшрушки играешь,,5,[Team1][Player0]: а ты в игшрушки играешь,90
1156,далбаеб,x,5,[Team1][Player0]: далбаеб,90
1157,через о пишется,,7,[Team1][Player2]: через о пишется,90
1158,О будет у твоей мамаши с ее порваным очком,x,5,[Team1][Player0]: О будет у твоей мамаши с ее порваным очком,90
1159,ОСТРООО,,7,[Team1][Player2]: ОСТРООО,90
1160,Я оценил,,7,[Team1][Player2]: Я оценил,90
1161,войд хорош,,2,[Team0][Player2]: войд хорош,90
1162,спс,,7,[Team1][Player2]: спс,90
1163,войд кусок гвона,,5,[Team1][Player0]: войд кусок гвона,90
1164,_*,,7,[Team1][Player2]: _*,90
1165,даун конченый,x,5,[Team1][Player0]: даун конченый,90
1166,дратути,,7,[Team1][Player2]: дратути,90
1167,гуля у тя недоеб?),,7,[Team1][Player2]: гуля у тя недоеб?),90
1168,играй на изи,,7,[Team1][Player2]: играй на изи,90
1169,сука войд такой даун,x,5,[Team1][Player0]: сука войд такой даун,90
1170,типа гуля,,2,[Team0][Player2]: типа гуля,90
1171,киньре репорт котлу плз,,6,[Team1][Player1]: киньре репорт котлу плз,90
1172,0 5,,2,[Team0][Player2]: 0 5,90
1173,ахах,,2,[Team0][Player2]: ахах,90
1174,на войда сволил,,2,[Team0][Player2]: на войда сволил,90
1175,end,,1,[Team0][Player1]: end,47
1176,pls,,1,[Team0][Player1]: pls,47
1177,the kraken has been unleashed,,1,[Team0][Player1]: the kraken has been unleashed,47
1178,oim odne,,2,[Team0][Player2]: oim odne,47
1179,how,,2,[Team0][Player2]: how,47
1180,sunstirck,,2,[Team0][Player2]: sunstirck,47
1181,fAMIFhaSUasn,,2,[Team0][Player2]: fAMIFhaSUasn,47
1182,how,,2,[Team0][Player2]: how,47
1183,...,,5,[Team1][Player0]: ...,47
1184,en d,,2,[Team0][Player2]: en d,47
1185,the game,,2,[Team0][Player2]: the game,47
1186,oh no,,2,[Team0][Player2]: oh no,47
1187,GOOD TACTICS,,3,[Team0][Player3]: GOOD TACTICS,47
1188,WALK INSINDE CM ULT,,3,[Team0][Player3]: WALK INSINDE CM ULT,47
1189,GJ,,3,[Team0][Player3]: GJ,47
1190,та пішов ти нахуй,x,5,[Team1][Player0]: та пішов ти нахуй,47
1191,nhaiouhasjof,,2,[Team0][Player2]: nhaiouhasjof,47
1192,GG,,6,[Team1][Player1]: GG,47
1193,EZ MID OH NO,,3,[Team0][Player3]: EZ MID OH NO,47
1194,ez sk,,2,[Team0][Player2]: ez sk,47
1195,ez feed,,2,[Team0][Player2]: ez feed,47
1196,EZ,,3,[Team0][Player3]: EZ,47
1197,NECRO,,3,[Team0][Player3]: NECRO,47
1198,FAILED MID,,3,[Team0][Player3]: FAILED MID,47
1199,BYE,,3,[Team0][Player3]: BYE,47
1200,xD,,4,[Team0][Player4]: xD,47
1201,Shrine,,0,[Team0][Player0]: Shrine,47
1202,saoce,,2,[Team0][Player2]: saoce,47
1203,space,,2,[Team0][Player2]: space,47
1204,F[][F[F,,6,[Team1][Player1]: F[][F[F,47
1205,гг,,5,[Team1][Player0]: гг,47
1206,gg,,1,[Team0][Player1]: gg,47
1207,всем спс,,8,[Team1][Player3]: всем спс,47
1208,LMAO,,3,[Team0][Player3]: LMAO,47
1209,GG,,3,[Team0][Player3]: GG,47
1210,we lost,,9,[Team1][Player4]: we lost,12
1211,end mid,,9,[Team1][Player4]: end mid,12
1212,we have no carry,,9,[Team1][Player4]: we have no carry,12
1213,u won,,9,[Team1][Player4]: u won,12
1214,LV 15 HARD CARRY,,9,[Team1][Player4]: LV 15 HARD CARRY,12
1215,SO HARD TO BE HERE,,9,[Team1][Player4]: SO HARD TO BE HERE,12
1216,CAN U HELP REPORT LUNA PLS?,,9,[Team1][Player4]: CAN U HELP REPORT LUNA PLS?,12
1217,disgusting n no skill,,9,[Team1][Player4]: disgusting n no skill,12
1218,pls,,9,[Team1][Player4]: pls,12
1219,1 commend,,9,[Team1][Player4]: 1 commend,12
1220,gg,,6,[Team1][Player1]: gg,12
1221,ano,,9,[Team1][Player4]: ano,12
1222,i need your comment,,9,[Team1][Player4]: i need your comment,12
1223,GG,,0,[Team0][Player0]: GG,12
1224,ez,,2,[Team0][Player2]: ez,12
1225,ya,,9,[Team1][Player4]: ya,12
1226,i know,,9,[Team1][Player4]: i know,12
1227,Эй жорики бырей,,9,[Team1][Player4]: Эй жорики бырей,73
1228,gg,,4,[Team0][Player4]: gg,73
1229,lets end this,,4,[Team0][Player4]: lets end this,73
1230,shit,,4,[Team0][Player4]: shit,73
1231,report jug,,4,[Team0][Player4]: report jug,73
1232,he drops and denay items,,4,[Team0][Player4]: he drops and denay items,73
1233,ty carry,,4,[Team0][Player4]: ty carry,73
1234,ff please,,4,[Team0][Player4]: ff please,73
1235,stay afk,,6,[Team1][Player1]: stay afk,73
1236,report,,4,[Team0][Player4]: report,73
1237,take throne ty,,4,[Team0][Player4]: take throne ty,73
1238,if u finish till 7 min,,4,[Team0][Player4]: if u finish till 7 min,73
1239,i comend u,,4,[Team0][Player4]: i comend u,73
1240,jug bought an acc,,4,[Team0][Player4]: jug bought an acc,73
1241,thorone,,4,[Team0][Player4]: thorone,73
1242,pls,,4,[Team0][Player4]: pls,73
1243,fuck u treant,x,4,[Team0][Player4]: fuck u treant,73
1244,throne,,4,[Team0][Player4]: throne,73
1245,report jug ty,,4,[Team0][Player4]: report jug ty,73
1246,far,,9,[Team1][Player4]: far,73
1247,farm,,9,[Team1][Player4]: farm,73
1248,че как оно?,,2,[Team0][Player2]: че как оно?,69
1249,даунов команда,x,6,[Team1][Player1]: даунов команда,69
1250,прилетел?,,2,[Team0][Player2]: прилетел?,69
1251,ех блять глупый школьник(((,x,7,[Team1][Player2]: ех блять глупый школьник(((,69
1252,?,,2,[Team0][Player2]: ?,69
1253,убил?,,2,[Team0][Player2]: убил?,69
1254,блять ты еще глупее чем я думал),x,7,[Team1][Player2]: блять ты еще глупее чем я думал),69
1255,?,,2,[Team0][Player2]: ?,69
1256,ggw wp,,9,[Team1][Player4]: ggw wp,69
1257,че там рубен?),,7,[Team1][Player2]: че там рубен?),69
1258,:D,,9,[Team1][Player4]: :D,69
1259,иди книдки собирай на завтра),,7,[Team1][Player2]: иди книдки собирай на завтра),69
1260,найс руна,,4,[Team0][Player4]: найс руна,40
1261,куда жирный пропал?,,6,[Team1][Player1]: куда жирный пропал?,40
1262,Две минуты и вернётся,,0,[Team0][Player0]: Две минуты и вернётся,40
1263,+,,4,[Team0][Player4]: +,40
1264,пати?,,6,[Team1][Player1]: пати?,40
1265,),,4,[Team0][Player4]: ),40
1266,+\,,0,[Team0][Player0]: +\,40
1267,+,,2,[Team0][Player2]: +,40
1268,+,,4,[Team0][Player4]: +,40
1269,Стримим,,0,[Team0][Player0]: Стримим,40
1270,скажи тому дрочуну что потом кончит,,7,[Team1][Player2]: скажи тому дрочуну что потом кончит,40
1271,Гов,,7,[Team1][Player2]: Гов,40
1272,канал кинь ,,5,[Team1][Player0]: канал кинь ,40
1273,сириусли?,,9,[Team1][Player4]: сириусли?,40
1274,или на твиче?,,5,[Team1][Player0]: или на твиче?,40
1275,Сука на твиче задержк,,6,[Team1][Player1]: Сука на твиче задержк,40
1276,Твич,,0,[Team0][Player0]: Твич,40
1277,в майне,,4,[Team0][Player4]: в майне,40
1278,эээ сларка ждали,,2,[Team0][Player2]: эээ сларка ждали,40
1279,хуйня,,6,[Team1][Player1]: хуйня,40
1280,??,,4,[Team0][Player4]: ??,40
1281,нет не ждём,,2,[Team0][Player2]: нет не ждём,40
1282,по очереди,,9,[Team1][Player4]: по очереди,40
1283,выодим,,9,[Team1][Player4]: выодим,40
1284,не ждём,,2,[Team0][Player2]: не ждём,40
1285,вы не ждали иди нахуй,,2,[Team0][Player2]: вы не ждали иди нахуй,40
1286,я хз не в тиме,,9,[Team1][Player4]: я хз не в тиме,40
1287,закройте ебало еп,x,5,[Team1][Player0]: закройте ебало еп,40
1288,Норм,,0,[Team0][Player0]: Норм,40
